      1 | twitter  | earthquake | NoWarNow2011           |  2360 | 23 oct #court battle over an #italian #earthquake has sent shock waves rippling through scientific circles http://t.co/paltwkpt #eq #italy  
      2 | twitter  | earthquake | Iketotan               |    57 | earthquake: m 1.7, central california. at wed, 07 nov 2012 11:08:22 gmt depth: 8.40 km http://t.co/evmiyqwv                                 
      3 | twitter  | earthquake | SeismicTweeter         |   146 | rt @earthquake: #earthquake m 5.1, central east pacific rise nov  7, 2012 10:46:41 utc http://t.co/166qbzy3                                 
      4 | twitter  | earthquake | quantumtomcat          |    21 | rt @earthquakebot: a 5.1 magnitude earthquake occurred in central east pacific rise. details: http://t.co/bg1dxkxx map: http://t.co/3gb5pjwk
      5 | twitter  | earthquake | cocode777              |     0 | shocktherapy earthquake                                                                                                                     
      6 | twitter  | terremot | earthquakeinfos        |    56 | #terremoto #tremor  m 4.6, central east pacific rise http://t.co/6roxx090                                                                   
      7 | twitter  | terremot | earthquakeinfos        |    56 | #terremoto #tremor  m 5.1, central east pacific rise http://t.co/lyqftazu                                                                   
      8 | twitter  | earthquake | QuakeSOS               |  2035 | earthquake ! #pasthour m 5.1, central east pacific rise http://t.co/472094ek                                                                
      9 | twitter  | earthquake | remusute               |     4 | rt @reuters: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/mphfpfnk                                                          
     10 | twitter  | earthquake | occpal                 | 10542 | forgot to mention #israel propagated to having restructured the drill to an earthquake drill. well see previous pictures.                   
     11 | twitter  | gempa bumi | Fakhri84588549         |    81 | @slvroctvn @likaaanuraini kece apaa kece badai tsunami longsor gempa bumi yaa :d hahaha                                                     
     12 | twitter  | earthquake | zizou7s                |  1799 | rt @newearthquake: 5.1 earthquake, central east pacific rise. nov 7 10:46 at epicenter (16m ago, depth 10km). http://t.co/qgmu0ibv          
     13 | twitter  | gempa bumi | momobimbim             |   116 | jangan yg ada nanti malah gempa bumi kalo lu lari haha"@ayuuts: ayo balapan lari sama gua rt @momobimbim: lah emang bener kan yu ? haha rt  
     14 | twitter  | earthquake | MS_SaSaa               |   244 | rt @choclit_factory: \u201c@divarabena: how do we build in gh that our buildings can just collapse without earthquake or hurricanes? ei\u201d
     15 | twitter  | earthquake | DiamondsJewell         |  4686 | haitian jewelry promotion helps ongoing earthquake recovery: clotheslines - plain dealer (blog... http://t.co/xuazt5w0 #fashion #jewelry    
     16 | twitter  | earthquake | Iketotan               |    57 | earthquake: m 1.3, central california. at wed, 07 nov 2012 11:11:29 gmt depth: 4.70 km http://t.co/quygqgch                                 
     17 | twitter  | earthquake | Smmyaw80               |    13 | i just read: "earthquake shakes buildings in philippine capital" on binu #afpbreakingnews http://t.co/pndvpbdc                              
