      1 | twitter  | earthquake | annwwaarrr             |   131 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
      2 | twitter  | earthquake | hodges1998             |    93 | vibrate at home at quiet as anything. vibrate at school ' like an earthquake'                                                               
      3 | twitter  | earthquake | tomlinsyrup            |  1001 | "earthquake" ya ok if u wanna think so                                                                                                      
      4 | twitter  | earthquake | ExoticsRally           |  1991 | what's next? #tsunami #volcanoerupting #earthquake #armegeddon  @ exotics rally http://t.co/b1zldwqr                                        
      5 | twitter  | earthquake | meggmooney             |   232 | rt @_slimmjay: if you walk past me &amp; all of a sudden i experience a mini earthquake ...  we have a problem                              
      6 | twitter  | lindol   | ohohjek                |   298 | rt @omgitsoosshh: nag hahanap ng open ground sa labas if ever :( grabe, its gettin' scary na. sunod sunod ang lindol dito sa baguio. pal ...
      7 | twitter  | earthquake | anissnaziha            |   229 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
      8 | twitter  | earthquake | nwar_ge                |   107 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
      9 | twitter  | lindol   | ohohjek                |   298 | rt @hoyregine: lumindol daw. di ko nafeel. oh baguio, adik adik lang sa lindol? inaraw-araw mo na hah!                                      
     10 | twitter  | earthquake | ahsan_hamizi           |   203 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     11 | twitter  | lindol   | ohohjek                |   298 | rt @lecelynjoy12: hala lumindol ngayon dito sa baguio.. saglit lang pero ramdam na ramdam! oh my! araw araw na lang yata ang lindol dito ...
     12 | twitter  | earthquake | Doxiemomma87           |    53 | did anyone else in oregon notice the #earthquake ?                                                                                          
     13 | twitter  | earthquake | syahiraramo            |    79 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     14 | twitter  | earthquake | khairulrazali          |   452 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     15 | twitter  | earthquake | FULLERTWEETS           |  2816 | a big earthquake is likely to take out my chinese restaurant.                                                                               
     16 | twitter  | lindol   | ohohjek                |   298 | rt @kriziajeannine: freaky. bakit lindol ng lindol? \U0001f631 #baguio                                                                      
     17 | twitter  | earthquake | She_COLEhearted        |  1004 | @so_irrelevant depending on the breakdown, hurricane irene, the earthquake on the west coast, any of that could have been the beginning     
     18 | twitter  | earthquake | TooHighToReply         |   432 | rt @chrisvillaz12: @milfgod ignorant mofo go #killyaself bitch! i'm mad u survived that earthquake in yo country fag.....lord give us aa ...
     19 | twitter  | gempa bumi | NajwaSyameen           |   197 | #palingtaksukabila ada orang kejutkan kita bangun macam kejutkan apa tah :3 macam ada gempa bumi pulak ~ -,-                                
     20 | twitter  | earthquake | luccelizabeth          |    69 | what the hell? all this time i thought labrinth was the other one thet features in earthquake!!!?? im a dumbass                             
     21 | twitter  | earthquake | woshiinobody           |    44 | listening to english songs now omg! #nowplaying earthquake - little boots                                                                   
     22 | twitter  | earthquake | LetsTweets69           | 14228 | \u201cyou can no more win a war than you can win an earthquake.\u201d                                                                       
     23 | twitter  | earthquake | DaphneConway5          |  1747 | have you ever experienced an earthquake?: pot racks have you ever experienced an earthquake? i hadn \u2019t until today. w http://t.co/wepe61yl
     24 | twitter  | earthquake | iamduanus              |   218 | if doomsday had a sound, it would be dubstep. picturing a tsunami, earthquake, blood rain, it just goes with it so perfectly                
     25 | twitter  | earthquake | pariahfosterite        |     1 | earthquakedon't worry! im here to save you from the #earthquake                                                                             
     26 | twitter  | earthquake | EmvGee                 |    79 | rt @mrceejm: @mrjeant earthquake? nah halo 4 just landed xd                                                                                 
     27 | twitter  | earthquake | arpoli85               |   315 | @tlcontessa @crystalchappell i'm pretty sure mother nature hates us! hurricanes, nor'easters &amp; earthquake this past wk in nj! oy vey!   
     28 | twitter  | earthquake | Lauri_mcfly            |   837 | rt @laurenashlee18: "@shitmcflydo: does the opposite thing you're supposed to do during an earthquake. goes into the lift. #shitmcflydo" ...
     29 | twitter  | earthquake | Lauri_mcfly            |   837 | rt @shitmcflydo: earthquake judgement spot on. ran straight to the door. didn't even put clothes on. #shitmcflydo                           
     30 | twitter  | earthquake | DavidBuckley7          |   158 | i thought there was an earthquake this morning... nope just lambda renovations shaking the whole house.                                     
     31 | twitter  | earthquake | Chuckmacist            |   135 | a female can hold her fart in for years. hate to be around when she let that shit loose. probably how we got that damn earthquake last year 
     32 | twitter  | earthquake | pattyugrhartzel        |     6 | earthquake ? wtf!                                                                                                                           
     33 | twitter  | earthquake | tiso17                 |   313 | @jame926 @cnp1212 we need a tsunami an earthquake                                                                                           
     34 | twitter  | gempa bumi | lindakurniaa           |   300 | rt @ipkcumlaude: hypocenter = parameter atau titik pusat gempa bumi di bawah permukaan bumi di mana energi gempa dilepaskan #geologi        
     35 | twitter  | earthquake | abbeymcfly             |   606 | rt @shitmcflydo: earthquake judgement spot on. ran straight to the door. didn't even put clothes on. #shitmcflydo                           
     36 | twitter  | earthquake | Aboodllica             |    81 | @k_tallica specially from venusaur :3 i love earthquake :d                                                                                  
     37 | twitter  | lindol   | jessicuhhhMc           |   156 | bat parang ang dalas ng lindol sa baguio? keep.safe errbody                                                                                 
     38 | twitter  | earthquake | YourItGirl_26          |   549 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     39 | twitter  | earthquake | Rawrasaur93            |    53 | sounds like a fucking earthquake in my house with this bass. &lt;3                                                                          
     40 | twitter  | earthquake | FunKnjaZZy             |    63 | 5,5 earthquake, ahar, iran, 6h26 7 de nov, 10 km deep, at 38,472\xb0,46,613\xb0 http://t.co/bv4cz3rc                                        
     41 | twitter  | earthquake | ChloeNarcis_           |   449 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     42 | twitter  | terremot | giselleluy             |    12 | terremoto em s\xe3o gabri\xe9l. ta a culpa foi minha, mandei praga pro meu pai!                                                             
     43 | twitter  | earthquake | ProphetLetters         |    59 | 11/7/12  your gambling meccas are ground zero for earthquake, drought, flood, building collapses, firebombs and death...                    
     44 | twitter  | earthquake | Destynisboss18         |    98 | it feels like i'm stuck in an earthquake what the fuck is in this energy drink                                                              
