      1 | twitter  | earthquake | ThejasMysore           |   173 | rt @staronline: strong earthquake off guatemala kills at least 48 http://t.co/pl8nnqku                                                      
      2 | twitter  | earthquake | UNICEFNZ               |  1383 | our thoughts are with all those affected by this terrible disaster: rt @skynews guatemala earthquake: at least 48 dead http://t.co/cqfpee3t 
      3 | twitter  | terremot | LinhasNaAreia          |  2451 | not\xedcias: terremoto de 6,3 graus volta a atingir costa oeste do canad\xe1: um terremoto de 6,3 graus de magnitude n... http://t.co/cdftv734
      4 | twitter  | earthquake | RyNic0LE               |    47 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
      5 | twitter  | earthquake | pmoallemian            | 13254 | magnitude 5.5 earthquake hits iran, usgs reports http://t.co/oaxkuur8                                                                       
      6 | twitter  | earthquake | KieleyVieweg           |   109 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
      7 | twitter  | earthquake | itbjoe                 |   113 | "@robdavis_wx: a 6.3 #earthquake struck off vancouver island near 6pm pst. http://t.co/r2dse6ab" umm...@franktml, @eugeniorupa?????         
      8 | twitter  | earthquake | prabhat00132           |     0 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
      9 | twitter  | earthquake | SeismicTweeter         |   146 | rt @quakereports: earthquake: m 5.1, south indian ocean http://t.co/5gz5gza6                                                                
     10 | twitter  | earthquake | Ashley_Daryl___        |    30 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     11 | twitter  | earthquake | zorillus               | 11980 | rt @ecodivanomi: are you prepared for the next bc earthquake? get started now. november could be a bumpy month!http://t.co/ibkluzy3         
     12 | twitter  | earthquake | jess_hint              |    45 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     13 | twitter  | earthquake | sgangopadhyay          |   113 | rt @newearthquake: 5.1 earthquake, south indian ocean. nov 8 07:24 at epicenter (16m ago, depth 10km). http://t.co/upsi948c                 
     14 | twitter  | earthquake | efla42                 |    28 | rt @newearthquake: 4.8 earthquake, 61km sw of ocos, guatemala. nov 7 20:27 at epicenter (54m ago, depth 35km). http://t.co/izd2wpw9         
     15 | twitter  | earthquake | onakasuitana_          |   431 | @laurajean43 i know how you feel..i really hate the earthquake too. #hugs                                                                   
     16 | twitter  | earthquake | Ashtrobot              |   328 | rt @_f0revergabyxo: guatemala got hit by a 7.4 earthquake and many people are missing #prayforguatemala                                     
     17 | twitter  | earthquake | cLzurbito              |   148 | rt @newearthquake: 5.1 earthquake, south indian ocean. nov 8 07:24 at epicenter (16m ago, depth 10km). http://t.co/upsi948c                 
     18 | twitter  | earthquake | alexanderbecky         |    91 | rt @cbcnewsbc: 6.3 quake hits off vancouver island: a magnitude 6.3 earthquake has hit off the west coast of vancouver island. http://t. ...
     19 | twitter  | earthquake | AlberniWeather         |   126 | just greeted by word of another earthquake 6.3 off vancouver island.  anyone feel it? no tsunami warning.                                   
     20 | twitter  | earthquake | MeggyW777              |   254 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     21 | twitter  | earthquake | AveryFrancis           |   347 | storage containers in place of shops and strip malls - post earthquake in 2011 #innovat @ towers on the park http://t.co/yl5598qi           
     22 | twitter  | earthquake | NewsMiamiFL            |     3 | 48 dead after earthquake rocks guatemala: a powerful earthquake off the pacific coast of guatemala on wed... http://t.co/brxlakcv #miami    
     23 | twitter  | earthquake | KaeSavoie              |   598 | it's been less than 24 hours since obama was elected and there's been a nor'easter and an earthquake.. #justsayin                           
     24 | twitter  | earthquake | Ispeak4Mi              |   268 | rt @earthquakebot: a 5.1 magnitude earthquake occurred in south indian ocean. details: http://t.co/tgxw6ba0 map: http://t.co/1plmfnzn       
     25 | twitter  | earthquake | AkshayRuia             |     5 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
     26 | twitter  | earthquake | alyssaawilson12        |   145 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     27 | twitter  | earthquake | angelraven10           |   133 | rt @metrowinnipeg: 6.3 earthquake hits near vancouver island, no injuries reported http://t.co/klfw23yj                                     
     28 | twitter  | earthquake | HillEmerson            |  2133 | powerful quake hits guatemala, killing at least 48: san marcos, guatemala (ap) \u2014 a 7.4-magnitude earthquake rock... http://t.co/lda0w4nk
     29 | twitter  | earthquake | TheRealYoG             |   957 | what to do after an earthquake. http://t.co/eshpdqjm #bepreparednotscared                                                                   
     30 | twitter  | earthquake | soMIKAYa028            |   126 | rt @quakestoday: 5.1 magnitude earthquake. south indian ocean. details @ http://t.co/bvtcfrms                                               
     31 | twitter  | earthquake | eqmon                  |   668 | 5.1 - south indian ocean - 07/11/12  22:24:29 est  depth: 10 km (6.21 mi) http://t.co/3sslwzir #hmrd #quake #earthquake                     
     32 | twitter  | earthquake | ne033x                 |   479 | alert: 5.1 earthquake, south indian ocean. nov 8 07:24 at epicenter (16m ago, depth 10km). http://t.co/rvbnfytw                             
     33 | twitter  | earthquake | 007_Debby              |  8885 | dozens killed in guatemala earthquake - new york times http://t.co/adzh0bky                                                                 
